run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595699	SAMN27258451	OSCC81_S009	SRX14726001	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S009_L001	PAIRED	Illumina MiSeq
SRR18595703	SAMN27258447	OSCC81_S005	SRX14725994	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S005_L001	PAIRED	Illumina MiSeq
SRR18595710	SAMN27258522	OSCC81_S080	SRX14725980	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S080_L001	PAIRED	Illumina MiSeq
SRR18595716	SAMN27258516	OSCC81_S074	SRX14725968	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S074_L001	PAIRED	Illumina MiSeq
SRR18595722	SAMN27258482	OSCC81_S040	SRX14725956	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S040_L001	PAIRED	Illumina MiSeq
SRR18595727	SAMN27258477	OSCC81_S035	SRX14725946	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S035_L001	PAIRED	Illumina MiSeq
SRR18595729	SAMN27258475	OSCC81_S033	SRX14725942	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S033_L001	PAIRED	Illumina MiSeq
SRR18595731	SAMN27258473	OSCC81_S031	SRX14725938	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S031_L001	PAIRED	Illumina MiSeq
SRR18595733	SAMN27258472	OSCC81_S030	SRX14725934	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S030_L001	PAIRED	Illumina MiSeq
SRR18595735	SAMN27258470	OSCC81_S028	SRX14725930	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S028_L001	PAIRED	Illumina MiSeq
SRR18595736	SAMN27258469	OSCC81_S027	SRX14725928	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S027_L001	PAIRED	Illumina MiSeq
SRR18595737	SAMN27258468	OSCC81_S026	SRX14725926	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S026_L001	PAIRED	Illumina MiSeq
SRR18595741	SAMN27258464	OSCC81_S022	SRX14725918	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S022_L001	PAIRED	Illumina MiSeq
SRR18595743	SAMN27258445	OSCC81_S003	SRX14725914	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S003_L001	PAIRED	Illumina MiSeq
SRR18595745	SAMN27258461	OSCC81_S019	SRX14725910	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S019_L001	PAIRED	Illumina MiSeq
SRR18595748	SAMN27258522	OSCC81_S080	SRX14725904	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S080_L001	PAIRED	Illumina MiSeq
SRR18595749	SAMN27258459	OSCC81_S017	SRX14725902	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S017_L001	PAIRED	Illumina MiSeq
SRR18595751	SAMN27258491	OSCC81_S049	SRX14725898	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S049_L001	PAIRED	Illumina MiSeq
SRR18595753	SAMN27258489	OSCC81_S047	SRX14725894	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S047_L001	PAIRED	Illumina MiSeq
SRR18595756	SAMN27258486	OSCC81_S044	SRX14725888	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S044_L001	PAIRED	Illumina MiSeq
SRR18595759	SAMN27258483	OSCC81_S041	SRX14725882	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S041_L001	PAIRED	Illumina MiSeq
