genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects
g__Campylobacter	3	2	1	3	0	up	1	1	2	2	2	0.0154164	0.469237	0.469237	0.8342	666746(SILVA*+0.993);822685(SILVA*+0.342);813034(GG+0.0722)
g__Peptostreptococcus	3	2	1	3	0	up	1	1	2	1	2	0.0180647	0.737597	0.737597	0.7719	666746(SILVA*+0.225);822685(SILVA*+0.815);813034(GG+1.17)
g__Catonella	3	2	1	3	0	up	1	1	2	2	2	0.013465	0.542621	0.542621	0.6785	666746(SILVA*+0.666);822685(SILVA*+0.58);813034(GG+0.382)
g__Actinomyces	3	2	1	0	3	down	1	1	2	2	2	0.00412384	0.623546	-0.623546	0.5789	666746(SILVA*-1.04);822685(SILVA*-0.111);813034(GG-0.723)
g__Megasphaera	3	2	1	0	3	down	1	1	2	1	2	0.0455351	0.509823	-0.509823	0.5567	666746(SILVA*-0.931);822685(SILVA*-0.088);813034(GG-0.51)
g__Filifactor	3	2	1	3	0	up	1	1	2	2	2	0.000390308	0.359407	0.359407	0.4736	666746(SILVA*+0.25);822685(SILVA*+0.197);813034(GG+0.631)
g__Acidovorax	3	2	1	3	0	up	1	1	2	3	2.5	0.0338832	0.60328	0.60328	0.2058	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(GG+1.58)
g__Azospirillum	3	2	1	3	0	up	1	1	2	1	2	0.00157225	0.191815	0.191815	0.1774	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(GG+0.366)
g__Deinococcus	3	2	1	3	0	up	1	1	2	2	2	0.01315	0.175007	0.175007	0.1637	666746(SILVA*+0.216);822685(SILVA*+0.0836);813034(GG+0.225)
g__Brevibacterium	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.168204	0.168204	0.1454	666746(SILVA*+0.139);822685(SILVA*+0.0836);813034(GG+0.282)
g__Morganella	3	2	1	3	0	up	1	1	2	2	2	0.00156521	0.178663	0.178663	0.1348	666746(SILVA*+0.139);822685(SILVA*+0.0836);813034(GG+0.313)
g__Desulfovibrio	3	2	1	3	0	up	1	1	2	1	2	0.00148434	0.0892981	0.0892981	0.1208	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.0412)
g__Bilophila	3	2	1	3	0	up	1	1	2	2	2	0.000496365	0.118061	0.118061	0.1154	666746(SILVA*+0.139);822685(SILVA*+0.0836);813034(GG+0.131)
g__Anaerovorax	3	2	1	3	0	up	1	1	2	2	2	0.000391488	0.124766	0.124766	0.1137	666746(SILVA*+0.152);822685(SILVA*+0.0746);813034(GG+0.148)
