genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Gardnerella	2	2	0	2	0	up	1	1	2	1	2	0.00157225	0.108247	0.108247	0.0412	666746(SILVA*+0.142);822685(SILVA*+0.0746);813034(NA)	0.755619	C_DADA2_consistent_GGnotdetected	72
g__Flexilinea	2	2	0	2	0	up	1	1	2	2	2	0.0388238	0.107067	0.107067	0.0412	666746(SILVA*+0.13);822685(SILVA*+0.0836);813034(NA)	0.755	C_DADA2_consistent_GGnotdetected	73
g__Rheinheimera	2	1	1	2	0	up	1	1	1	2	1.5	0.00157225	0.240066	0.240066	0.065	666746(SILVA*+0.198);822685(NA);813034(GG+0.282)	0.743431	E_SILVA+GG_consistent	74
g__Christensenellaceae_R-7_group	2	2	0	2	0	up	1	1	2	2	2	0.00367787	0.117875	0.117875	0.0331	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)	0.739507	C_DADA2_consistent_GGnotdetected	75
g__Alistipes	2	2	0	2	0	up	1	1	1	1	1	0.0388238	0.108422	0.108422	0.1731	666746(SILVA+0.133);822685(SILVA*+0.0836);813034(NA)	0.732008	C_DADA2_consistent_GGnotdetected	76
g__Lachnospira	2	2	0	2	0	up	1	1	2	2	2	0.00452458	0.112765	0.112765	0.0281	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.723888	C_DADA2_consistent_GGnotdetected	77
g__Pseudoxanthomonas	3	2	1	3	0	up	1	1	1	1	1	0.0388238	0.13505	0.13505	0.0537	666746(SILVA+0.0889);822685(SILVA*+0.0912);813034(GG+0.225)	0.722436	A_all3_consistent	78
g__Rubellimicrobium	2	1	1	2	0	up	1	1	1	2	1.5	0.00122372	0.251706	0.251706	0.0525	666746(SILVA*+0.152);822685(NA);813034(GG+0.351)	0.719211	E_SILVA+GG_consistent	79
g__Cryptobacterium	2	2	0	2	0	up	1	1	2	2	2	0.00224673	0.112765	0.112765	0.0243	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(NA)	0.713997	C_DADA2_consistent_GGnotdetected	80
g__UCG-002	2	2	0	2	0	up	1	1	2	2	2	0.00118228	0.117875	0.117875	0.0231	666746(SILVA*+0.152);822685(SILVA*+0.0836);813034(NA)	0.713385	C_DADA2_consistent_GGnotdetected	81
