	Taxon	genus
714276b766b01feec6fbfbc924916e78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
bb5a0c438071c99f1cf47c992e7b9e1c	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas;s__	g__Parvimonas
e62dda278c2f619474817c1bc249bb6f	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__	g__Megamonas
d95d7e79d9e931ed2442decbabb2aba8	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	g__Fusobacterium
e0d1e3fa2e10e95e235a220259e73b2c	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	g__Veillonella
63719d66121cd4112b5d8b5d1bacd4b0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;s__	g__Dialister
2d41981ee289bc672dfef616e0220b7f	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Pseudoleptotrichia;s__	g__Pseudoleptotrichia
8e86f983f24bc9d242199f530ed19e7b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
2578a5c327f718cd8ff49a50f1b3f303	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__	g__Selenomonas
0a96e4f41bd1ae7995253de846500b7b	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	g__Neisseria
ce3c11405838d4e971765d75ee0ed68b	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Pseudoleptotrichia;s__	g__Pseudoleptotrichia
387349bbf301de818017a263010277fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Stenotrophomonas;s__	g__Stenotrophomonas
af2150fef76b295092cd60a788cbe500	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	Unclassified
adaee256a34ff7012e77d1a26d82b874	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__	g__Rothia
0dc8ecf5a4d330985298bb571595df53	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Alysiella;s__	g__Alysiella
80eb0769de9447a845b8ab46b1499cea	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	g__Capnocytophaga
5497318e515a8c328a68f95975d9c7d4	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__	g__Staphylococcus
8e662c105abda24419a09c3ff80d5523	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
d33f6ec17ca2b9e922208da1a8291a27	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__	g__Selenomonas
ae80ee1968a868df26cebfe372f0612d	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
582da013b6aa08a8d6b6bd308c4c1525	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Mesobacillus;s__	g__Mesobacillus
2903f2e41955a0f7fe924306eadea605	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	g__Haemophilus
5b52f8ea76d3b777c6e0bf4c7bcd0035	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
fb3a1838e4556844efebeb418e436360	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
6dc5884ec4f5e5b0e14838d72980ef88	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	Unclassified
c773422b3dd3b7f057a6ec0d5fb93733	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella;s__	g__Eikenella
e47b7c57183d489a185e684d3dc8f4e6	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	g__Fusobacterium
7e4c8c964ee846be66d272ff7d413421	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	g__Campylobacter
6e68d3873eb052ed4a4c880b2b858e2a	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__	g__Abiotrophia
331649b538de38b06a4c132872929545	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	g__Haemophilus
7edd5036cada4c421b445a2a4163eb60	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
d32402fba33e283f5faf20632f56a10f	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__	g__Treponema
aa15ec5479cde6d5381cbc99a0f6a59e	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	g__Veillonella
176e2eaf868bad4377b277040094b7ff	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
300a3fae9c66d3b53485e9127df2dd75	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__	g__Campylobacter
056c10f628f9c8baab360f29471c9fff	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobium;s__	g__Lentimicrobium
5354b5f62e45014a1b54b8ad68cfa269	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella;s__	g__Veillonella
faee55aa0df36adff9d7cb5943b53b04	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__	g__Paenibacillus
b9c26c666b0075a9bf43873dfb3d6dd2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Incertae_Sedis;s__	g__Incertae_Sedis
2ee585c245a593473acb21bdf1d7a460	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	g__Anaerostipes
eea4d79f73bf1ec443ff4bd2571c1df1	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__	g__Leptotrichia
cdc581167e678fbf49ee8a38850535d2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__	g__Treponema
a7fcd2d9cc90e58c3e3fd1603acca805	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	g__Haemophilus
409f711b59152d57926cf444c5577087	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
4807fd4aead0b0bf88e292fcc2213ed8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	g__Capnocytophaga
47c3b8e99a3a5c52b6a5d21fa6bb39f6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	g__Haemophilus
77c0eb3868af3c05b52bdec996f96858	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__	g__Oribacterium
d6f4b701e545befd24b5e71ad6604001	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus
6c533cb82779f1fbd66e7c3a8697fa3e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	g__Prevotella
