run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	scientific_name	library_layout	instrument_model	fastq_ftp	fastq_md5
SRR18236705	SAMN26448882	Human tumor tissue	SRX14378238	Illumina HiSeq 2500 sequencing: Precancer_13	P13	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/005/SRR18236705/SRR18236705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/005/SRR18236705/SRR18236705_2.fastq.gz	6f393d38d3e650abd46b6ed55ff03934;4e15e0dabbc7b07631f9e81bbfcf23df
SRR18236706	SAMN26448882	Human tumor tissue	SRX14378237	Illumina HiSeq 2500 sequencing: Precancer_12	P12	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/006/SRR18236706/SRR18236706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/006/SRR18236706/SRR18236706_2.fastq.gz	7a0c945118aae5107393274d730157b7;05c04c4f8c858050bf139ea3f8392f1a
SRR18236707	SAMN26448882	Human tumor tissue	SRX14378236	Illumina HiSeq 2500 sequencing: Precancer_11	P11	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/007/SRR18236707/SRR18236707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/007/SRR18236707/SRR18236707_2.fastq.gz	12165309377b0d8e4c794740d8922cb0;fe655ccfcb301fea9cb16eba1ce1736e
SRR18236709	SAMN26448882	Human tumor tissue	SRX14378234	Illumina HiSeq 2500 sequencing: Precancer_10	P10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/009/SRR18236709/SRR18236709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/009/SRR18236709/SRR18236709_2.fastq.gz	73b721249b4ea948cfac6088e3eebbba;724bb1866edf33a8cd31b39c65928208
SRR18236710	SAMN26448882	Human tumor tissue	SRX14378233	Illumina HiSeq 2500 sequencing: Precancer_9	P9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/010/SRR18236710/SRR18236710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/010/SRR18236710/SRR18236710_2.fastq.gz	f34c23049c6756a2682d3e6c966553a2;a8e22a72115d8dae8f5321c6f12eee9f
SRR18236711	SAMN26448882	Human tumor tissue	SRX14378232	Illumina HiSeq 2500 sequencing: Precancer_8	P8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/011/SRR18236711/SRR18236711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/011/SRR18236711/SRR18236711_2.fastq.gz	960558cb53e7752d06c0414a710c9b1c;311b220714bfd40389116b9d5672a8f1
SRR18236712	SAMN26448882	Human tumor tissue	SRX14378231	Illumina HiSeq 2500 sequencing: Precancer_7	P7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/012/SRR18236712/SRR18236712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/012/SRR18236712/SRR18236712_2.fastq.gz	7fb17f3dfa21c1fc16e0d0533a92a77f;aa345d5c607270051dd30941b9077c53
SRR18236716	SAMN26448882	Human tumor tissue	SRX14378227	Illumina HiSeq 2500 sequencing: Precancer_3	P3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/016/SRR18236716/SRR18236716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/016/SRR18236716/SRR18236716_2.fastq.gz	5e367c5ca54c809e8e5f198d73c6dbfc;63153f519f5ebc0a375fc47dff069553
SRR18236718	SAMN26448882	Human tumor tissue	SRX14378225	Illumina HiSeq 2500 sequencing: Precancer_1	P1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/018/SRR18236718/SRR18236718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/018/SRR18236718/SRR18236718_2.fastq.gz	2a00fa8abb52aed8185f3fd66f1c4a4b;13e92b85bd30468ce919be98882d4238
SRR18236719	SAMN26448882	Human tumor tissue	SRX14378224	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_9	A9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/019/SRR18236719/SRR18236719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/019/SRR18236719/SRR18236719_2.fastq.gz	d7245b353486dfe192b4abfc576921c1;1716aa534c657ec4fdefef2bc2ccf152
SRR18236722	SAMN26448882	Human tumor tissue	SRX14378221	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_13	Z13	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/022/SRR18236722/SRR18236722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/022/SRR18236722/SRR18236722_2.fastq.gz	fec8eab00f1a07778ba8a03f03662f2a;b0e8e438c3b220b737fab259a6dd5b0b
SRR18236728	SAMN26448882	Human tumor tissue	SRX14378215	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_7	Z7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/028/SRR18236728/SRR18236728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/028/SRR18236728/SRR18236728_2.fastq.gz	04f27a4e21cc9df77534ed956c7a43ba;db2dd8a9229a59e65849b202bdce78fe
SRR18236730	SAMN26448882	Human tumor tissue	SRX14378213	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_8	A8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/030/SRR18236730/SRR18236730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/030/SRR18236730/SRR18236730_2.fastq.gz	4fb28dbcaf6ca637b43c39991623f9d5;a8492b8768defc047f774d12353314da
SRR18236733	SAMN26448882	Human tumor tissue	SRX14378210	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_3	Z3	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/033/SRR18236733/SRR18236733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/033/SRR18236733/SRR18236733_2.fastq.gz	5ee3e53af6d2e4a3f3f68b7115f0fb9e;d963646c8852a80678309694d4a1b15d
SRR18236734	SAMN26448882	Human tumor tissue	SRX14378209	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_2	Z2	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/034/SRR18236734/SRR18236734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/034/SRR18236734/SRR18236734_2.fastq.gz	2e8f64ca0fb13f155b9d5e4d4f13f678;77c9e2246c3f73cceaccb0ddc7f320d1
SRR18236736	SAMN26448882	Human tumor tissue	SRX14378207	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_10	Y10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/036/SRR18236736/SRR18236736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/036/SRR18236736/SRR18236736_2.fastq.gz	c943d03bf7cb9d7ad35cd6018f8e6c2c;c78c2faf03349e653851dfcb64801968
SRR18236738	SAMN26448882	Human tumor tissue	SRX14378205	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_8	Y8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/038/SRR18236738/SRR18236738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/038/SRR18236738/SRR18236738_2.fastq.gz	e2f6b3396a7c9f0b89c1e1413e9b246c;5338abc57989717923035dbf36c45cdf
SRR18236750	SAMN26448882	Human tumor tissue	SRX14378193	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_12	E12	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/050/SRR18236750/SRR18236750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/050/SRR18236750/SRR18236750_2.fastq.gz	14e9812fd93fd61a2fc3829961accea5;9e43f57a6a7927dcca531821f2a3b492
